penulis,judul,pembimbing_pertama,pembimbing_kedua,abstrak,prodi,abstrak_inggris
Siliwangi Fitra Rachmawanto S.T.,OPTIMASI PEMILIHAN PORTOFOLIO SAHAM PERUSAHAAN SEKTOR TAMBANG DENGAN MENGGUNAKAN GOAL PROGRAMMING,"Heri Awalul Ilhamsah S.T., M.T.","Retno Indriartiningtias S.T., M.T.","Portofolio adalah sekumpulan saham yang dimiliki investor. Dalam setiap saham pada portofolio memiliki resiko yang harus diminimalkan dengan cara diversifikasi yaitu dengan mengalokasikan dana pada berbagai alternatif investasi pada kombinasi saham pada portofolio. Pada skripsi ini, saham yang digunakan berupa saham dari perusahan sektor tambang yang terdapat 4 subsektor didalamnya yaitu subsektor Batubara, subsektor batu-batuan, subsektor logam dan mineral lainnya, dan subsektor minyak dan gas bumi. Dari setiap subsektor tersebut terbentuk beberapa portofolio yang kemudian dilakukan optimasi dalam pemilihannya. Pada skripsi ini menggunakan goal programming untuk meminimalkan penyimpangan antara fungsi objektif dengan nilai ideal fungsi objektif yang menghasilkan proporsi dana yang harus diinvestasikan pada masing-masing saham. Hasil yang diperoleh dari goal programming pada setiap subsektor yaitu : subsektor batubara terdapat 4 portofolio efisien, subsektor batu-batuan terdapat 2 portofolio efisien, subsektor logam dan mineral lainnya terdapat 3 portofolio efisien dan subsektor minyak dan gas bumi terdapat 4 portofolio efisien serta proporsi dana yang harus diinvestasikan pada portofolio-portofolio pada setiap subsektor tersebut. Kata Kunci : Goal programming, Portofolio, Expected return, Resiko, Proporsi dana.",Teknik Industri,"Portofolio is a collection of stock owned by investors. In every stock on the portofolio have risk must be minimized by diversification to allocate funds on a variety of investments alternative at a combination of stocks in the portofolios. In this thesis, the stocks used in form of shares of mining companies contained therein 4 subsector there are subsector of coal, subsector of rocks, subsector of metals and other minerals, and subsector of oil and gas. Of each subsectors are formed of several portofolio is then carried out in the election. In this thesis used goal programming to minimize the deviation between the ideal value of the objective function with the objectif function that generates the proportion of funds should be invested in each stoks. The results obtained from the Goal Programming in each subsector, there are for subsector of coal have 4 efficient of portofolios, subsector of rocks have 2 efficient of portofolios, subsector of metals and and other minerals have 3 efficient of portofolios, and than subsector of oil and gas have 4 efficient of portofolios with the proportion of funds must be invested in portofolios for the each of subsectors. Keywords : Goal Programming, Portofolio, Stock, Expected Return, Risk, Proportion of Funds."
AHMAD MAS'UD,PERANCANGAN TATA LETAK FASILITAS LANTAI PRODUKSI PT. ABC MENGGUNAKAN MEDOTE SYSTEMATIC LAYOUT PLANNING (SLP) DAN ALGORITMA GENETIK,"SABARUDIN AKHMAD, S.T., M.T.","SUGENG PURWOKO, S.T., M.T.","PT. ABC merupakan perusahaan yang bergerak dibidang manufaktur kayu yaitu memproduksi meja, kursi dan lain-lain. Terdapat berbagai jenis mesin yang berada dalam lantai produksi PT. ABC untuk menunjang jalannya proses produksi, diantaranya yaitu : planner, ripsaw, sanding, dan mesin lainnya. Saat ini PT. ABC memiliki permasalahan dengan tataletak fasilitas, hal tersebut terlihat pada jarak perpindahan bahan dari stasiun kerja satu menuju stasiun kerja yang lainnya yang terlalu jauh. Tujuan penelitian ini adalah merancang alternatif layout yang bisa meminimalkan total momen perpindahan bahan dengan menggunakan metode SLP (Systematic Layout Planning) dan Algoritma Genetik. Setelah pengumpulan dan pengolahan data didapatkan hasil perhitungan tataletak awal lantai produksi perusahaan memberikan total momen sebesar 207.203 meter perpindahan per bulan. Metode SLP memberikan total momen sebesar 152.506 meter perpindahan per bulan, sedangkan dengan algoritma genetik diperoleh total momen sebesar 197.974 meter perpindahan per bulan.",Teknik Industri,"PT. ABC is a company engaged in the manufacture of wood that produces tables, chairs and others. There are different types of machines that are in production floor of PT. ABC to support the course of the production process, such as: planner, ripsaw, sanding, and other machinery. Currently PT. ABC has a problem with the layout of the facilities, it is visible in the distance of material handling from one work station to the other work station that is too far away. The purpose of this study was to design an alternative layout could minimize the total material handling moment using the SLP (Systematic Layout Planning) and Genetic Algorithm. After the collection and processing of data obtained initial results of the calculation of the company production floor layout gives a total moment 207.203 meters of transfer per month. SLP method gives a total moment 152.506 meters of transfer per month, while those with the genetic algorithm obtained a total moment 197.974 meters of transfer per month."
Yulianto Fauzanta,PERUMUSAN STRATEGI BISNIS UD. BUDI JAYA BANGKALAN ?DENGAN PENDEKATAN MODEL FRED R. DAVID,"Fitri Agustina, S.T., M.T","Retno Indriartiningtias, S.T., M.T","Bangkalan merupakan salah satu kabupaten yang memiliki potensi alam salak. ?Potensi alam tersebut dimanfaatkan oleh UD. Budi Jaya yang terletak di Desa ?Kramat? Bangkalan dengan memproduksi produk olahan salak. Selama ini UD ?Budi Jaya menemui banyak kendala, diantaranya adalah mengenai pemasaran, ?produksi bahan baku, dan lain-lain. salah satu solusi kendala tersebut adalah ?dengan merancang strategi bisnis yang sesuai dengan kondisi UD Budi Jaya. ?Model strategi Fred R. David mempunyai tiga tahap yaitu tahap masukan, ?pencocokan dan pengambilan keputusan. Matriks-matriks yang digunakan pada ?penelitian ini adalah IFE (Internal Factor Evaluation), EFE (External Factor ?Evaluation), SWOT, IE (Internal-External) Matrix, GRAND STRATEGY Matrix ?dan QSPM (Quantitative Strategic Planning Matrix). Hasil penelitian ini adalah ?beberapa alternatif strategi diantaranya adalah Strategi 5 (S5) yaitu menciptakan ?produk olahan baru (diversikasi), Strategi 3 (S3) pengiklanan, Strategi 2 (S2) ?Pengembangan produk yaitu meningkatkan kualitas produk, Strategi 7 (S7) ?Melakukan kesepakatan harga dengan anggota kelompok tani yang lain, dan ?strategi 1 (S1) Memperluas pasar.?",Teknik Industri,"Bangkalan is one of the districts that have the potential of natural bark. Natural ?potential use by UD. Budi Jaya is located in the village of Kramat Bangkalan to ?produce refined products barked. During this UD Budi Jaya encountered many ?obstacles, such as the marketing, production materials, and others. one solution to ?the problem is to devise business strategies in accordance with the conditions of UD ?Budi Jaya. Model strategies Fred R. David has three stages: input stage, matching ?and decision making. Matrices used in this study is the IFE (Internal Factor ?Evaluation), EFE (External Factor Evaluation), SWOT, IE (Internal-External) ?Matrix, GRAND STRATEGY Matrix and QSPM (Quantitative Strategic Planning ?Matrix). The results of this study are several alternative strategies such as Strategy 5 ??(S5), was to create a new refined products (diversification), Strategy 3 (S3) ?advertising, Strategy 2 (S2) Product development is to improve the quality of ?products, Strategy 7 (S7 ) Conducting price agreement with the other members of ?farmer groups, and strategies 1 (S1) Expanding markets.?"
M Mundir Muhlisin,USULAN PERBAIKAN UTILITAS RESOURCES PADA LANTAI PRODUKSI PT INDOSPRING TBK DENGAN PENDEKATAN SIMULASI,Mu'alim ST MT,Sugeng Purwoko ST MT,"Simulasi adalah duplikasi atau abstraksi dari persoalan dalam kehidupan nyata ke dalam model matematika. Berdasarkan hasil survey pendahuluan di lantai produksi PT Indospring tbk masih sering terjadi proses produksi yang belum optimal, salah satunya terlihat dari masih adanya jumlah antrian yang cukup tinggi, dan juga target output produksi yang sering belum tercapai. Dengan pendekatan simulasi diharapkan dapat memberikan gambaran permasalahan yang ada pada lantai produksi PT Indospring tbk guna meningkatkan efektifitas dan efisiensi lini produksi dengan cara memperbaiki utilitas pada resources yang ada pada lantai produksi PT Indospring tbk. Berdasarkan hasil pengolahan data didapatkan jumlah antrian tertinggi pada stasiun proses shearing sebesar 610 entity dengan nilai utillitas pada mesin sebesar 88% dan utilitas tenaga kerja sebesar 44%. Setelah usulan perbaikan dilakukan dengan cara menambahkan 1 unit mesin shearing akan berdampak penurunan antrian pada proses shearing dan juga perubahan nilai utilitas pada mesin menjadi 46% dan utilitas tenaga kerja menjadi 46%.",Teknik Industri,"Simulation is a duplication or abstraction of real-life problems into mathematical models. Based on the results of a preliminary survey on the production floor PT Indospring tbk is often not optimal production processes, one of which is visible from the persistence of a relatively high number of queues, as well as production output targets are not achieved. With the simulation approach is expected to provide an overview of existing problems on the production floor PT Indospring tbk to improve the effectiveness and efficiency of production lines by improving the existing utilities in the resources on the production floor PT Indospring tbk. Based on the results of data processing obtained the highest number of queues at the shearing station at 610 entity with the value utility on the engine by 88% and utility workforce by 44%. After the proposed improvements are made by adding 1 unit shearing machine will have an impact on the decline in the queue and the shearing process also changes the value of the utility on the machine to 46% and utility workforce to 46%"
Muhibbin,"Peningkatan Kepuasan Masyarakat Terhadap Pelayanan Aparatur Kepolisian dengan Menggunakan Integrasi Importance Performance Analysis (IPA) dan Model Kano
(Studi Kasus pada Bagian Pengurusan Surat Izin",Rahmad Hidayat,Retno Indriartiningtias,"Kepuasan adalah tingkat perasaan seseorang terhadap pelayanan setelah membandingkan antara kinerja dengan harapan yang diinginkan. Dalam penelitian ini dilakukan studi kualitas layanan dalam meningkatkan kepuasan masyrakat dengan menggunakan integrasi Importance Performance Analysis (IPA) dan Model Kano. Pendekatan ini bertujuan untuk membantu SATLANTAS kabupaten Sampang pada layanan pembuatan surat izin mengemudi dalam mengevaluasi kepuasan pemohon SIM serta mengidentifikasi atribut-atribut layanan yang fungsional dan disfungsional. Sehingga dengan pengintegrasian tersebut bisa mengetahui layanan yang menjadi prioritas utama untuk ditingkatkan. Hasil yang diperoleh nilai rata-rata untuk kepuasan adalah 3,306, sehingga dinilai cukup oleh pemohon SIM. Sedangkan dari hasil integrasi IPA dan Kano dapat diketahui bahwa atribut yang termasuk dalam kuadran I menjadi prioritas utama untuk ditingkatkan dengan kategori must-be dan one-Dimensional ,yaitu jumlah tempat duduk yang ada diruangan layanan SIM sudah mencukupi kebutuhan, jumlah komputer yang ada diruangan layanan SIM sudah mencukupi, sistem antrian yang ada di ruangan layanan SIM sudah rapi, para petugas layanan SIM dapat memberikan pelayanan yang dijanjikan, biaya yang ada di layanan SIM sesuai dengan ketentuan dan pelayanan dari petugas. Sedangkan kuadran III menjadi prioritas rendah untuk ditingkatkan dengan kategori attractive dan must-be, yaitu sarana informasi yang ada sudah lengkap, pemohon mudah melakukan hubungan dengan petugas layanan SIM dan pemohon dilayani dengan ramah oleh petugas layanan SIM.
Kata kunci : Kepuasan Terhadap Layanan, Integrasi IPA dan Kano",Teknik Industri,"Satisfaction is feeling level of someone to service after comparing between performance on the chance of which wanted. This research is done service quality study in to increase social satisfaction with use Importance Performance Analysis (IPA) integration and Kano Model. This approach has purpose to help SATLANTAS Sampang regency on Fabrication of Driver License (SIM) service on evaluate maker of driver license satisfaction also to identity service attributes of fungtional and disfungtional . So, with that integration writer can know primary priority service is increased. The result of get satisfaction average as 3,306, so this is good appreciated by driver license’s maker. Meanwhile from IPA integration Kano Model result can is known that attributes in quadrant I are primer priority to will be increased with must-be and one-dimensional category, such as total of chair on driver license service room has enough, total of computer on driver license service room has enough, queue system on driver license service room has prim, employee of driver license can give better service, appropriate cost on driver license room and employee service. While quadrant II be low priority to will be increased with attractive and must-be category, such as information tool has completed, appelant is easier to connect with driver license employee and appelant get friendly service by driver license employee.
Keywords: Satisfaction of Service Quality, IPA Integration and Kano Model."
Asri Maslihatin,Perencanaan Penjadwalan Dan Rute Terpendek Distribusi Premium PT. PERTAMINA Camplong Menggunakan Metode Distribution Requirement Planning (DRP)Dan Algoritma Dijkstra,"Heri Awalul Ilhamsah, S.T.M.T","Khamdi Mubarok, S.T.M.Eng","PT. Pertamina Terminal BBM (TBBM) Camplong adalah anak perusahaan Pertamina yang melayani pendistribusian BBM untuk wilayah Madura. Jumlah SPBU yang dilayani TBBM Camplong adalah 37 SPBU. Permintaan BBM untuk tiap SPBU per harinya tidak dapat dipastikan, sehingga distribusi BBM dengan keterbatasan jumlah mobil tangki yang ada tidak optimal. Untuk itu diperlukan penelitian penjadwalan distrbusi agar dapat mengoptimalkan pendistribusian BBM ke semua SPBU.
Dalam penelitian ini digunakan metode Distribution Requirement Planning (DRP) dan Algoritma Djikstra untuk membuat penjadwalan distribusi BBM. Langkah pertama adalah menginputkan data permintaan 60 periode (hari) sebelumnya untuk membuat peramalan permintaan 10 periode berikutnya. Langkah berikutnya menghitung besarnya lot untuk tiap SPBU dengan menggunakan teknik lot sizing EOQ. Selanjutnya disusun DRP Worksheet. Dengan demikian TBBM Camplong dapat melakukan penjadwalan distribusi yang optimal. Setelah dilakukan penjadwalan kemudian dicari rute terpendek yang akan dilalui oleh tiap mobil tangki dengan menggunakan Algoritma Dijkstra. Hasilnya menunjukkan untuk permintaan 24 kL lintasan terpendeknya adalah TBBM – SPBU – TBBM, sementara untuk permintaan 8 kL dan 16 kL bisa dua rute yaitu TBBM – SPBU – TBBM dan TBBM – SPBU1 – SPBU2 – TBBM. Dengan demikian, 22 mobil tangki dapat digunakan secara maksimal untuk memenuhi kebutuhan 37 SPBU di seluruh wilayah Madura.
Kata kunci : Peramalan, EOQ, Distribution Requirement Planning (DRP), Algoritma Dijktra.",Teknik Industri,"PT. Pertamina Terminal BBM (TBBM) Camplong is a subsidiary of PT Pertamina which serving fuel distribution in Madura region. The number of gas stations that served TBBM Camplong is 37 gas stations (SPBU). Fuel demand for each stasion per day can not be ascertained, so that the fuel distribution is not optimal due to the limited number of fuel tank cars. Therefore, it requires a research on distribution scheduling to optimize the distribution of fuel to all SPBU in the region.
This study used Distribution Requirements Planning (DRP) method and Djikstra Algorithm to solve distribution scheduling problem. First step is using data history of 60 periods (days) of demand to make demand forecasting for the next 10 periods. Second step is to calculate lot for each SPBU by using EOQ lot sizing, therefore DRP Worksheet is then be constructed. Thus, TBBM Camplong can perform optimal scheduling of distribution. After scheduling, then sought the shortest routefor each tank car using Dijkstra's algorithm. The results show for 24 kL demand, the shortest path is TBBM - SPBU - TBBM, while the demand for 8 kL and 16 kL can be two routes, TBBM - SPBU - TBBM and TBBM - SPBU1 - SPBU2 - TBBM. Thus, 22 tank cars can be used optimally to meet demands of 37 SPBU in Madura.
Keywords: Forecasting, EOQ, Distribution Requirement Planning (DRP), Dijktra Algorithm."
